Benchmark,CaDiCaL,drat-trim,ACL2,CakeML (cam),CakeML,Coq,GRATgen,GRATchk
11pipe_11_ooo-sc2011.cnf,1578.285,790.853,235.198,181.718,246.396,TIMEOUT,305.055,63.389
6s126-opt-sc2014.cnf,725.155,289.871,46.157,31.998,44.297,TIMEOUT,248.108,8.552
6s133-sc2014.cnf,162.313,98.433,26.164,32.079,46.314,1009.05,27.984,13.708
6s139-sc2013.cnf,743.311,616.702,79.178,69.566,89.945,TIMEOUT,366.403,22.408
6s166-sc2013.cnf,20.771,5.145,2.444,2.116,3.175,8.773,3.457,0.853
6s169-opt-sc2014.cnf,36.64,2.842,1.551,1.343,1.96,4.513,2.364,0.532
6s20-sc2013.cnf,361.961,354.327,65.927,93.811,128.63,TIMEOUT,75.862,39.324
9dlx_vliw_at_b_iq8-sc2007.cnf,811.03,1281.024,113.962,80.378,87.23,1907.694,625.027,13.542
9pipe_k-sc2012.cnf,132.361,107.493,41.741,32.97,44.12,2355.259,49.695,10.834
aaai10-planning-ipc5-TPP-21-step11-sc2011.cnf,238.534,234.811,49.215,64.324,91.539,2710.864,49.098,26.493
ablmulub16x4o-sc2016.cnf,103.985,185.968,114.225,186.113,251.759,TIMEOUT,36.68,91.318
ablmulub2x32o-sc2016.cnf,209.264,420.629,125.317,204.023,278.267,TIMEOUT,79.546,99.167
ae_rphp095_04-sc2018.cnf,4132.417,TIMEOUT,-,-,-,-,2910.511,736.236
aes_equiv_encry_3_rounds.debugged-sc2012.cnf,484.837,2325.121,93.69,59.279,75.992,2471.134,97.879,16.103
ASG_96_len112_known_last13_2_u.cnf,418.858,309.481,113.737,179.552,253.356,TIMEOUT,60.647,88.68
atco_enc1_opt2_20_12-sc2014.cnf,1308.026,1135.597,141.163,175.079,222.432,TIMEOUT,244.432,47.532
atco_enc3_opt2_10_12-sc2014.cnf,894.832,162.224,56.364,37.193,43.637,508.254,28.023,6.167
b1904P3-8x8c11h7UNSAT.cnf,1112.623,1079.234,204.428,284.086,391.427,TIMEOUT,219.067,115.394
blockpuzzle_5x10_s3_free4-sc2017.cnf,979.319,1180.397,509.983,865.915,1152.978,TIMEOUT,345.712,454.94
blocks-blocks-36-0.120-NOTKNOWN-sc2011.cnf,TIMEOUT,-,-,,-,-,-,-
blocks-blocks-37-1.130-NOTKNOWN-sc2011.cnf,2414.793,1574.574,1549.239,1205.058,1611.102,TIMEOUT,unknown error,-
bob12s06-sc2013.cnf,1178.425,2016.616,264.937,349.644,481.051,TIMEOUT,869.368,145.094
b_unsat-sc2013.cnf,729.773,1198.313,237.555,309.768,409.911,TIMEOUT,263.424,132.862
c6288mul.miter.shuffled-as.sat03-346-sc2002.cnf,807.3,127.357,12.068,14.907,21.169,235.107,77.767,6.324
connm-ue-csp-sat-n800-d0.02-s111845174.used-as.sat04-958-sc2011.cnf,3254.57,4097.197,480.152,723.384,1008.625,TIMEOUT,741.319,324.25
countbitssrl032-sc2009.cnf,40.55,56.672,41.901,58.963,81.638,4957.066,12.317,27.859
countbitswegner128-sc2011.cnf,778.351,1239.404,291.281,371.537,504.601,TIMEOUT,300.654,157.815
crafted_n11_d6_c3_num24-sc2013.cnf,149.896,165.028,100.964,88.857,110.343,4034.1,58.812,22.624
cruxmiter28seed8.cnf,269.522,543.36,56.108,86.857,121.74,TIMEOUT,99.891,44.115
cruxmiter29seed4.cnf,712.189,1238.579,647.989,180.115,248.212,TIMEOUT,286.867,87.648
cruxmiter29seed9.cnf,4199.464,TIMEOUT,-,-,-,-,2083.033,461.685
cruxmiter32seed4.cnf,TIMEOUT,-,-,-,-,-,-,-
ctl_4291_567_2_unsat_pre-sc2013.cnf,1407.694,2292.956,237.382,334.899,449.055,TIMEOUT,420.196,138.809
ctl_4291_567_2_unsat-sc2013.cnf,1339.952,2252.993,798.52,332.257,443.133,TIMEOUT,439.58,139.851
dist6.c-sc2018.cnf,67.828,116.02,204.725,86.804,123.099,3476.582,23.936,40.328
dp12u11.used-as.sat04-358-sc2004.cnf,124.688,147.32,104.363,40.147,57.921,1001.904,34.041,17.75
edges-024-4-5613555-1-00-sc2014.cnf,TIMEOUT,-,-,-,-,-,-,-
eqbparrc12spctbk12.cnf,TIMEOUT,-,-,-,-,-,-,-
eqbpdtlf12bparrc12.cnf,1189.364,767.356,97.144,149.44,208.638,TIMEOUT,164.379,70.133
eqbpdtlf14bpwtcl14.cnf,1778.616,1300.879,657.485,196.694,291.105,TIMEOUT,305.709,95.027
eqbpwtcl10spwtcl10.cnf,365.052,609.431,126.856,203.783,276.195,TIMEOUT,98.16,100.869
eqbpwtrc10bpdtlf10.cnf,298.344,440.212,75.82,119.993,166.514,TIMEOUT,69.949,58.484
eqbpwtrc10spctbk10.cnf,321.945,476.798,113.526,182.455,250.58,TIMEOUT,78.999,87.77
eqsparcl10bpwtrc10.cnf,294.835,506.427,94.351,147.983,204.879,TIMEOUT,73.71,73.079
eqsparcl12bpwtrc12.cnf,TIMEOUT,-,-,-,-,-,-,-
eqsparrc12bpdtlf12.cnf,TIMEOUT,-,-,-,-,-,-,-
eqspctbk12bpwtrc12.cnf,TIMEOUT,-,-,-,-,-,-,-
e_rphp035_05-sc2018.cnf,893.743,1171.039,192.603,307.264,408.131,TIMEOUT,518.533,129.03
ex051_9-sc2018.cnf,1268.145,298.54,38.4,45.99,68.721,1711.563,97.403,19.452
f10nidw-sc2012.cnf,240.867,64.989,31.272,21.396,26.698,338.303,37.572,4.581
f6nidw-sc2012.cnf,9.462,3.021,5.988,3.284,4.061,12.261,3.847,0.478
gensys-icl005.shuffled-as.sat05-3826-sc2011.cnf,268.676,389.095,49.445,76.554,109.404,3842.288,69.414,32.93
Grain_no_init_ver1_out200_known_last104_0_u.cnf,1945.151,2365.688,268.946,424.253,593.485,TIMEOUT,448.16,209.129
Grain_no_init_ver1_out200_known_last105_0_u.cnf,343.441,522.168,69.658,104.729,151.06,TIMEOUT,98.472,54.367
gto_p60c238-sc2018.cnf,308.63,535.778,84.632,129.212,183.121,TIMEOUT,160.211,61.592
Haystacks-ext-12_c18.cnf,219.329,330.885,64.659,100.735,142.655,TIMEOUT,110.163,53.819
Haystacks-ext-13_c18.cnf,3598.669,TIMEOUT,-,-,-,-,2351.35,660.862
hwb-n26-01-S1957858365.shuffled-as.sat03-1622-sc2002.cnf,1119.656,1692.139,134.17,199.306,282.045,TIMEOUT,398.974,100.612
hwb-n26-03-S540351185.sat05-490.reshuffled-07-sc2007.cnf,1385.966,1963.61,148.426,225.325,305.905,TIMEOUT,464.284,111.319
hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin-sc2011.cnf,1634.524,265.426,34.78,51.942,74.384,2649.594,171.487,21.399
hwmcc15deep-6s516r-k18-sc2017.cnf,870.146,1237.271,296.068,467.713,658.206,TIMEOUT,341.838,217.988
hwmcc15deep-oski15a10b10s-k22-sc2017.cnf,1260.738,457.328,91.098,116.013,158.928,TIMEOUT,140.198,42.761
LABS_n071_goal001-sc2013.cnf,1371.781,1145.259,132.259,168.839,228.256,TIMEOUT,265.905,71.406
le450_15b.col.15-sc2018.cnf,TIMEOUT,-,-,,-,-,-,-
manthey_single-ordered-initialized-w50-b7-sr2015.cnf,1002.628,1118.696,182.316,254.78,349.244,TIMEOUT,220.398,110.497
maxxor032-sc2011.cnf,28.788,10.615,3.943,4.809,7.442,48.636,5.889,2.033
Mickey_out250_known_last146_0_u.cnf,570.587,725.818,505.678,653.64,845.119,TIMEOUT,136.917,327.385
Mickey_out250_known_last147_0_u.cnf,381.292,339.153,251.052,333.043,432.485,TIMEOUT,69.197,163.08
minxorminand128-sc2009.cnf,1100.882,605.651,363.791,564.827,739.744,TIMEOUT,305.297,333.665
mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07-sc2007.cnf,1106.466,2127.68,171.27,276.539,372.853,TIMEOUT,720.055,134.911
mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07-sc2007.cnf,3322.028,TIMEOUT,-,-,-,-,2657.909,556.027
MUS-v310-4-sc2013.cnf,1438.656,1155.377,117.21,169.242,230.612,TIMEOUT,298.225,82.335
Nb51T6-sc2018.cnf,3152.79,495.802,123.683,133.141,115.299,2307.721,236.639,14.966
newton.2.3.i.smt2-cvc4-sc2016.cnf,TIMEOUT,-,-,-,-,-,-,-
pb_300_10_lb_08-sc2014.cnf,83.685,33.044,12.185,11.492,14.378,74.635,9.82,3.175
Pb-chnl15-16_c18.cnf,TIMEOUT,-,-,-,-,-,-,-
Pb-chnl20-21_c18.cnf,TIMEOUT,-,-,-,-,-,-,-
ps_5000_21250_3_0_0.8_0_1.55_2-sc2017.cnf,1053.005,731.677,197.366,289.448,407.622,TIMEOUT,201.46,147.107
QG7a-gensys-icl001.sat05-3822.reshuffled-07-sc2007.cnf,65.538,95.674,17.805,26.561,39.016,482.238,18.403,29.83
QG7a-gensys-ukn002.sat05-3842.reshuffled-07-sc2007.cnf,409.341,584.092,74.349,119.533,168.751,TIMEOUT,142.039,53.383
rubikcube701-sc2017.cnf,1273.65,1323.859,140.211,197.499,272.282,TIMEOUT,226.319,86.748
rubikcube912-sc2017.cnf,TIMEOUT,-,-,-,-,-,-,-
SAT_dat.k100-sc2012.cnf,223.329,112.319,parse error,26.174,34.878,1109.779,36.895,8.206
SAT_dat.k85-sc2013.cnf,1023.95,1385.955,106.081,93.448,111.176,TIMEOUT,157.553,22.645
SGI_30_60_24_40_2-dir.shuffled-as.sat03-118-sc2002.cnf,1027.993,1731.102,283.805,440.986,584.08,TIMEOUT,451.316,229.017
size_4_4_4_i0418_r8.cnf,152.7,168.106,33.031,49.856,72.016,2003.005,39.82,24.333
size_4_4_4_i0566_r8.cnf,386.671,531.043,72.971,114.389,159.667,TIMEOUT,99.275,54.35
size_4_4_4_i2704_r8.cnf,330.966,400.478,62.351,98.87,137.738,TIMEOUT,84.775,46.533
size_4_4_4_i3499_r8.cnf,310.232,394.106,62.51,96.506,138.082,TIMEOUT,82.945,45.257
size_4_4_4_i4096_r8.cnf,182.858,216.292,37.528,59.375,83.352,2634.372,46.728,28.249
size_4_4_4_i4295_r8.cnf,151.316,176.143,32.426,50.008,70.926,1956.27,39.024,25.14
size_4_4_4_i4473_r8.cnf,188.191,214.838,33.805,52.523,73.724,2201.017,44.641,26.587
size_4_4_4_i4828_r8.cnf,248.415,317.091,54.16,83.154,117.269,TIMEOUT,68.987,41.226
slp-synthesis-aes-bottom13-sc2011.cnf,27.924,13.833,5.668,6.603,10.721,60.242,5.006,3.166
slp-synthesis-aes-top21-sc2011.cnf,2887.398,3404.216,325.767,474.634,670.482,TIMEOUT,911.123,195.805
smtlib-qfbv-aigs-countbits128-tseitin-sc2011.cnf,745.351,853.004,163.053,219.326,307.429,TIMEOUT,239.569,92.966
smulo032-sc2012.cnf,135.959,140.837,32.694,47.968,66.128,2147.901,30.095,23.834
snw_13_8_pre-sc2016.cnf,1018.224,936.607,78.741,91.175,128.037,TIMEOUT,212.059,37.86
snw_16_8_nopre-sc2016.cnf,2020.918,1152.263,100.794,90.382,110.714,2876.836,289.54,26.965
snw_16_8_pre-sc2016.cnf,1914.341,943.415,80.316,69.492,91.607,1802.289,239.094,25.465
sokoban-p16.sas.ex.15-sc2016.cnf,976.605,1231.347,854.059,808.983,1018.643,TIMEOUT,675.677,304.586
sokoban-p16.sas.ex.19-sc2016.cnf,TIMEOUT,-,-,-,-,-,-,-
sokoban-p20.sas.ex.15-sc2016.cnf,TIMEOUT,-,-,-,-,-,-,-
squ_any_s09x07_c27_abio_UNS-sc2017.cnf,724.683,751.606,74.921,110.937,153.661,TIMEOUT,191.149,52.784
stone-width3chain-nmarkers-20_shuffled-sc2016.cnf,TIMEOUT,-,-,-,-,-,-,-
Subisomorphism-g10-g23_c18.cnf,3990.586,TIMEOUT,-,-,-,-,unknown error,-
sv-comp19_prop-reachsafety.newton_2_2_true-unreach-call_true-termination.i-witness.cnf,174.06,26.249,12.214,11.114,15.28,2507.766,19.816,4.958
sv-comp19_prop-reachsafety.newton_2_3_true-unreach-call_true-termination.i-witness.cnf,183.793,39.93,11.213,9.267,13.033,1357.534,25.144,3.098
sv-comp19_prop-reachsafety.newton_2_4_true-unreach-call_true-termination.i-witness.cnf,355.238,33.177,12.944,11.417,15.774,1832.674,20.489,4.272
sv-comp19_prop-reachsafety.sine_8_true-unreach-call_true-termination.i-witness.cnf,132.161,2.696,2.114,1.113,1.517,7.678,2.226,0.261
sv-comp19_prop-reachsafety.square_5_true-unreach-call_true-termination.i-witness.cnf,110.772,117.064,157.286,211.908,293.277,TIMEOUT,22.384,94.931
T103.2.1-sc2017.cnf,1574.955,233.416,112.372,104.867,87.569,4203.64,145.765,9.814
Trivium_no_init_out350_known_last142_1_u.cnf,2022.877,2908.789,284.949,437.834,608.633,TIMEOUT,556.173,223.147
Trivium_no_init_out350_known_last143_1_u.cnf,1266.052,1479.084,171.918,262.271,363.034,TIMEOUT,302.994,131.513
uniqinv47prop-sc2018.cnf,4316.965,1445.9,115.981,181.111,251.516,TIMEOUT,426.458,90.405
UTI-20-10p0-sc2009.cnf,683.985,572.055,138.694,167.763,226.464,TIMEOUT,172.069,65.292
UTI-20-5p0-sc2009.cnf,458.611,405.311,88.951,109.736,147.852,TIMEOUT,95.526,40.665
